,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
5532,HDFC Bank,3.8,51.1k,1.5L,3k,330
5533,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5534,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5535,HCLTech,3.4,44.8k,3.8L,4.5k,284
5536,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5537,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5538,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5539,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5540,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5541,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5542,Cognizant,3.6,60.2k,6L,6.3k,624
5543,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5544,HDFC Bank,3.8,51.1k,1.5L,3k,330
5545,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5546,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5547,HCLTech,3.4,44.8k,3.8L,4.5k,284
5548,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5549,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5550,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5551,Jio,4.4,33.1k,62.5k,4.1k,3
5552,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5553,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5554,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5555,Cognizant,3.6,60.2k,6L,6.3k,624
5556,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5557,HDFC Bank,3.8,51.1k,1.5L,3k,330
5558,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5559,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5560,HCLTech,3.4,44.8k,3.8L,4.5k,284
5561,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5562,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5563,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5564,Jio,4.4,33.1k,62.5k,4.1k,3
5565,Axis Bank,3.6,32.5k,1L,1.9k,192
5566,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5567,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5568,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5569,Cognizant,3.6,60.2k,6L,6.3k,624
5570,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5571,HDFC Bank,3.8,51.1k,1.5L,3k,330
5572,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5573,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5574,HCLTech,3.4,44.8k,3.8L,4.5k,284
5575,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5576,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5577,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5578,Jio,4.4,33.1k,62.5k,4.1k,3
5579,Axis Bank,3.6,32.5k,1L,1.9k,192
5580,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5581,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5582,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5583,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5584,Cognizant,3.6,60.2k,6L,6.3k,624
5585,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5586,HDFC Bank,3.8,51.1k,1.5L,3k,330
5587,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5588,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5589,HCLTech,3.4,44.8k,3.8L,4.5k,284
5590,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5591,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5592,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5593,Jio,4.4,33.1k,62.5k,4.1k,3
5594,Axis Bank,3.6,32.5k,1L,1.9k,192
5595,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
