,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
5187,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5188,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5189,Jio,4.4,33.1k,62.5k,4.1k,3
5190,Axis Bank,3.6,32.5k,1L,1.9k,192
5191,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5192,Amazon,3.9,31k,1.5L,5.8k,1.9k
5193,iEnergizer,4.6,27.2k,24k,1.2k,94
5194,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5195,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5196,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5197,Cognizant,3.6,60.2k,6L,6.3k,624
5198,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5199,HDFC Bank,3.8,51.1k,1.5L,3k,330
5200,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5201,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5202,HCLTech,3.4,44.8k,3.8L,4.5k,284
5203,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5204,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5205,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5206,Jio,4.4,33.1k,62.5k,4.1k,3
5207,Axis Bank,3.6,32.5k,1L,1.9k,192
5208,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5209,Amazon,3.9,31k,1.5L,5.8k,1.9k
5210,iEnergizer,4.6,27.2k,24k,1.2k,94
5211,Reliance Retail,3.9,27.1k,76.7k,1.9k,130
5212,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5213,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5214,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5215,Cognizant,3.6,60.2k,6L,6.3k,624
5216,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5217,HDFC Bank,3.8,51.1k,1.5L,3k,330
5218,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5219,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5220,HCLTech,3.4,44.8k,3.8L,4.5k,284
5221,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5222,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5223,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5224,Jio,4.4,33.1k,62.5k,4.1k,3
5225,Axis Bank,3.6,32.5k,1L,1.9k,192
5226,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5227,Amazon,3.9,31k,1.5L,5.8k,1.9k
5228,iEnergizer,4.6,27.2k,24k,1.2k,94
5229,Reliance Retail,3.9,27.1k,76.7k,1.9k,130
5230,LTIMindtree,3.6,26k,1.9L,3.4k,548
5231,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5232,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5233,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5234,Cognizant,3.6,60.2k,6L,6.3k,624
5235,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5236,HDFC Bank,3.8,51.1k,1.5L,3k,330
5237,Infosys,3.5,47.7k,5.2L,8.4k,2.5k
5238,ICICI Bank,4.0,45.2k,1.5L,2.9k,15
5239,HCLTech,3.4,44.8k,3.8L,4.5k,284
5240,Tech Mahindra,3.4,42.6k,2.8L,4.5k,639
5241,Genpact,3.6,41.2k,2.3L,3.8k,1.2k
5242,Teleperformance,3.8,37k,96.1k,2.2k,1.3k
5243,Jio,4.4,33.1k,62.5k,4.1k,3
5244,Axis Bank,3.6,32.5k,1L,1.9k,192
5245,Concentrix Corporation,3.6,31.6k,1.3L,2k,61
5246,Amazon,3.9,31k,1.5L,5.8k,1.9k
5247,iEnergizer,4.6,27.2k,24k,1.2k,94
5248,Reliance Retail,3.9,27.1k,76.7k,1.9k,130
5249,LTIMindtree,3.6,26k,1.9L,3.4k,548
5250,IBM,3.9,25.4k,2.1L,2.6k,2k
5251,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5252,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5253,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5254,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5255,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5256,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5257,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5258,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5259,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5260,Cognizant,3.6,60.2k,6L,6.3k,624
5261,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5262,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5263,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5264,Cognizant,3.6,60.2k,6L,6.3k,624
5265,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
5266,TCS,3.3,1.1L,9.8L,11.9k,2.7k
5267,Accenture,3.7,71.9k,6.5L,9.2k,37.9k
5268,Wipro,3.6,63.8k,4.8L,6.7k,5.6k
5269,Cognizant,3.6,60.2k,6L,6.3k,624
5270,Capgemini,3.7,51.8k,4.8L,5.5k,2.1k
