,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
7689,Tieto,4.2,1.4k,9.5k,104,70
7690,Morningstar,3.7,1.4k,9.8k,262,143
7691,AB InBev India,3.3,1.4k,7.7k,114,78
7692,Jaquar,4.1,1.4k,5.1k,83,11
7693,CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.4k,4.8k,88,--
7694,J. Kumar Infraprojects,4.1,1.4k,4.4k,92,4
7695,The Muthoot Group,3.6,1.4k,3.8k,84,--
7696,TCS iON,3.8,1.4k,4k,399,--
7697,Agilus Diagnostics,4.1,1.4k,3.3k,84,10
7698,Acuity Analytics,3.2,1.4k,11.6k,171,81
7699,PNB Housing Finance,3.8,1.4k,4.5k,53,1
7700,Happiest Minds Technologies,3.4,1.4k,12.2k,151,328
7701,Sony,4.1,1.4k,4.6k,82,7
7702,Apexon,3.3,1.4k,9.3k,175,93
7703,SBFC Finance,3.8,1.4k,2.7k,95,58
7704,IDC Technologies,3.1,1.4k,6.9k,76,7
7705,Tieto,4.2,1.4k,9.5k,104,70
7706,Morningstar,3.7,1.4k,9.8k,262,143
7707,AB InBev India,3.3,1.4k,7.7k,114,78
7708,Jaquar,4.1,1.4k,5.1k,83,11
7709,CIE Automotive India Limited (Formerly known as Mahindra CIE Automotive Limited),3.6,1.4k,4.8k,88,--
7710,J. Kumar Infraprojects,4.1,1.4k,4.4k,92,4
7711,The Muthoot Group,3.6,1.4k,3.8k,84,--
7712,TCS iON,3.8,1.4k,4k,399,--
7713,Aumovio,3.8,1.4k,9.2k,81,10
7714,Agilus Diagnostics,4.1,1.4k,3.3k,84,10
7715,Acuity Analytics,3.2,1.4k,11.6k,171,81
7716,PNB Housing Finance,3.8,1.4k,4.5k,53,1
7717,Happiest Minds Technologies,3.4,1.4k,12.2k,151,328
7718,Sony,4.1,1.4k,4.6k,82,7
7719,Apexon,3.3,1.4k,9.3k,175,93
7720,SBFC Finance,3.8,1.4k,2.7k,95,58
