,Company_Name,Ratings,Rating_Count,Salary,Interview,Jobs
8424,The Ramco Cements,4.0,1.3k,4.1k,92,--
8425,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8426,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8427,Nippon Paint India,4.0,1.3k,4k,77,--
8428,Atul,3.9,1.3k,5.2k,97,5
8429,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8430,Bluestock ™,4.5,1.3k,57,385,--
8431,The Ramco Cements,4.0,1.3k,4.1k,92,--
8432,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8433,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8434,Nippon Paint India,4.0,1.3k,4k,77,--
8435,Atul,3.9,1.3k,5.2k,97,5
8436,RBL FinServe,3.9,1.3k,3k,66,--
8437,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8438,Bluestock ™,4.5,1.3k,57,385,--
8439,The Ramco Cements,4.0,1.3k,4.1k,92,--
8440,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8441,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8442,Nippon Paint India,4.0,1.3k,4k,77,--
8443,Atul,3.9,1.3k,5.2k,97,5
8444,RBL FinServe,3.9,1.3k,3k,66,--
8445,Fabindia,3.8,1.3k,4k,60,2
8446,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8447,Bluestock ™,4.5,1.3k,57,385,--
8448,The Ramco Cements,4.0,1.3k,4.1k,92,--
8449,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8450,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8451,Nippon Paint India,4.0,1.3k,4k,77,--
8452,Atul,3.9,1.3k,5.2k,97,5
8453,RBL FinServe,3.9,1.3k,3k,66,--
8454,Fabindia,3.8,1.3k,4k,60,2
8455,Grant Thornton,3.4,1.3k,11.1k,117,295
8456,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8457,Bluestock ™,4.5,1.3k,57,385,--
8458,The Ramco Cements,4.0,1.3k,4.1k,92,--
8459,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8460,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8461,Nippon Paint India,4.0,1.3k,4k,77,--
8462,Atul,3.9,1.3k,5.2k,97,5
8463,RBL FinServe,3.9,1.3k,3k,66,--
8464,Fabindia,3.8,1.3k,4k,60,2
8465,Grant Thornton,3.4,1.3k,11.1k,117,295
8466,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8467,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8468,Bluestock ™,4.5,1.3k,57,385,--
8469,The Ramco Cements,4.0,1.3k,4.1k,92,--
8470,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8471,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8472,Nippon Paint India,4.0,1.3k,4k,77,--
8473,Atul,3.9,1.3k,5.2k,97,5
8474,RBL FinServe,3.9,1.3k,3k,66,--
8475,Fabindia,3.8,1.3k,4k,60,2
8476,Grant Thornton,3.4,1.3k,11.1k,117,295
8477,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8478,Brillio,3.4,1.3k,10.3k,141,15
8479,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8480,Bluestock ™,4.5,1.3k,57,385,--
8481,The Ramco Cements,4.0,1.3k,4.1k,92,--
8482,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8483,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8484,Nippon Paint India,4.0,1.3k,4k,77,--
8485,Atul,3.9,1.3k,5.2k,97,5
8486,RBL FinServe,3.9,1.3k,3k,66,--
8487,Fabindia,3.8,1.3k,4k,60,2
8488,Grant Thornton,3.4,1.3k,11.1k,117,295
8489,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8490,Brillio,3.4,1.3k,10.3k,141,15
8491,GEP Worldwide,3.6,1.3k,9.1k,154,11
8492,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8493,Bluestock ™,4.5,1.3k,57,385,--
8494,The Ramco Cements,4.0,1.3k,4.1k,92,--
8495,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8496,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8497,Nippon Paint India,4.0,1.3k,4k,77,--
8498,Atul,3.9,1.3k,5.2k,97,5
8499,RBL FinServe,3.9,1.3k,3k,66,--
8500,Fabindia,3.8,1.3k,4k,60,2
8501,Grant Thornton,3.4,1.3k,11.1k,117,295
8502,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8503,Brillio,3.4,1.3k,10.3k,141,15
8504,GEP Worldwide,3.6,1.3k,9.1k,154,11
8505,Cinépolis,3.8,1.3k,2.9k,78,23
8506,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8507,Bluestock ™,4.5,1.3k,57,385,--
8508,The Ramco Cements,4.0,1.3k,4.1k,92,--
8509,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8510,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8511,Nippon Paint India,4.0,1.3k,4k,77,--
8512,Atul,3.9,1.3k,5.2k,97,5
8513,RBL FinServe,3.9,1.3k,3k,66,--
8514,Fabindia,3.8,1.3k,4k,60,2
8515,Grant Thornton,3.4,1.3k,11.1k,117,295
8516,Hatsun Agro Product,3.8,1.3k,4.6k,79,15
8517,Brillio,3.4,1.3k,10.3k,141,15
8518,GEP Worldwide,3.6,1.3k,9.1k,154,11
8519,Cinépolis,3.8,1.3k,2.9k,78,23
8520,Pantaloons,4.1,1.3k,2.8k,69,--
8521,VIBGYOR Group of Schools,3.5,1.3k,4.1k,97,245
8522,Bluestock ™,4.5,1.3k,57,385,--
8523,The Ramco Cements,4.0,1.3k,4.1k,92,--
8524,Shubham Housing Development Finance,3.9,1.3k,3k,52,6
8525,CreditAccess Grameen,3.9,1.3k,2.5k,53,15
8526,Nippon Paint India,4.0,1.3k,4k,77,--
8527,Atul,3.9,1.3k,5.2k,97,5
